BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
1,"","оя-0152","Джанмавов, Ю. Д.","Деепричастия в кумыкском литературном языке (сравнительно с другими тюркскими языками)","",,,"","",1967,"М.","","","","","","","","Изд. Наука","","","","","","","","","","",""
1,"","оя-0153","Горелов, В. И.","Пособие по переводу с китайского языка на русский","",,,"","",1966,"М.","нет","","","","","","","Изд. Наука","","","","","","","","","","",""
1,"","оя-0154","Сыромятников, Н. А.","Становление новояпонского языка","",,,"","",1965,"М.","","","","","","","","Изд. Наука","","","","","","","","","","",""
1,"","оя-0155","","Топонимика Востока. Новые исследования","",,,"","",1964,"М.","","","","","","","","Изд. Наука","","","","","","","","","","",""
9,"","оя-0156","Хейвот, Каса Гебре","Тиграйский язык (тигриння)","",,,"","",1968,"","","","","","","","","","","","","","","","","","","",""
9,"","оя-0157","Рауфова, А. Г.","Категория наречий в современном арабском языке","",,,"","",1969,"","","","","","","","","","","","","","","","","","","",""
1,"","оя-0158","Санжеев, Г. Д.","Сравнительная грамматика монгольских языков. Глагол","",,,"","",1964,"М.","","","","","","","","Изд. Наука","","","","","","","","","","",""
1,"","оя-0159","Андронов, М. С.","Дравидийские языки","",,,"","",1965,"М.","2 экз.","","","","","","","Изд. Наука","","","","","","","","","","",""
1,"","оя-0160","Аракин, В. Д.","Индонезийские языки","",,,"","",1965,"Москва","нет","","","","","","","Наука","","","","","","","","","","",""
1,"","оя-0161","Аракин, В. Д.","Мальгашский язык","",,,"","",1963,"М.","2 экз.","","","","","","","","","","","","","","","","","",""
1,"","оя-0162","Бауэр, Г. М.","Язык южноаравийской письменности","",,,"","",1966,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0163","Быкова, Е. М.","Бенгальский язык","",,,"","",1966,"М.","2 экз.","","","","","","","","","","","","","","","","","",""
1,"","оя-0164","Вентцель, Т. В.","Цыганский язык (северорусский диалект)","",,,"","",1964,"М.","2 экз.","","","","","","","","","","","","","","","","","",""
1,"","оя-0165","Выхухолев, В. В.","Сингальский язык","",,,"","",1964,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0166","Герценберг, Л. Г.","Хотаносакский язык","",,,"","",1965,"М.","2 экз.","","","","","","","","","","","","","","","","","",""
1,"","оя-0167","Горгониев, Ю. А.","Кхмерский язык","",,,"","",1961,"М.","2 экз.","","","","","","","","","","","","","","","","","",""
1,"","оя-0168","Дворянков, Н. А.","Язык пушту","",,,"","",1960,"М.","2 экз.","","","","","","","","","","","","","","","","","",""
1,"","оя-0169","Дмитриев, Н. К.","Турецкий язык","",,,"","",1960,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0170","Дорофеева, Л. Н.","Язык фарси-кабули","",,,"","",1960,"М.","2 экз.","","","","","","","","","","","","","","","","","",""
1,"","оя-0171","Дунаевская, И. М.","Язык хеттских иероглифов","",,,"","",1969,"М.","3 экз.","","","","","","","","","","","","","","","","","",""
1,"","оя-0172","Дьяконов, И. М.","Семитохамитские языки","",,,"","",1965,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0173","Егорова, Р. П.","Язык синдхи","",,,"","",1966,"М.","2 экз.","","","","","","","","","","","","","","","","","",""
1,"","оя-0174","Ефимов, В. А.","Язык афганских хазара (каулангский диалект)","",,,"","",1965,"М.","3 экз.","","","","","","","","","","","","","","","","","",""
1,"","оя-0175","Завадовский, Ю. Н.","Арабские диалекты магриба","",,,"","",1962,"М.","2 экз.","","","","","","","","","","","","","","","","","",""
1,"","оя-0176","Иванов, В. В.; Топоров, В. Н.","Санскрит","",,,"","",1960,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0177","Карпушкин, Б. М.","Язык ория","",,,"","",1964,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0178","Катенина, Т. Е.","Язык маратхи","",,,"","",1963,"М.","","","","","","","","","","","","","","","","","","",""
1,"","оя-0179","Климов, Г. А.; Эдельман, Д. И.","Язык бурушаски","",,,"","",1970,"М.","2 экз.","","","","","","","","","","","","","","","","","",""
1,"","оя-0180","Королев, Н. И.","Язык непали","",,,"","",1965,"М.","3 экз.","","","","","","","","","","","","","","","","","",""
1,"","оя-0181","Коростовцев, М. А.","Египетский язык","",,,"","",1961,"М.","нет","","","","","","","","","","","","","","","","","",""
